Token_Entropy,Sentence_Entropy,Acc
0.3260163963,0.0848747715,0.9472477064220184
0.3157939911,0.0773828849,0.9541284403669725
0.32000193,0.082430236,0.8612385321100917
0.3197359145,0.0785698965,0.7717889908256881
0.3292608261,0.0838153884,0.9438073394495413
0.317800343,0.0741252974,0.9334862385321101
0.3228741288,0.0691304281,0.9518348623853211
0.3229438066,0.0837720856,0.9128440366972477
0.316295594,0.0680559576,0.8646788990825688
0.3205753863,0.0659567043,0.9472477064220184
0.3148268163,0.0726785287,0.9162844036697247
0.3259584606,0.0763534233,0.9334862385321101
0.3125219047,0.0639033988,0.9495412844036697
0.3189254105,0.0779156014,0.944954128440367
0.3212229609,0.0804740712,0.9357798165137615
0.314529866,0.072059989,0.9472477064220184
0.3208685517,0.0754696131,0.9415137614678899
0.3188986182,0.0690145865,0.9334862385321101
0.3215870261,0.0679330453,0.8589449541284404
0.3360068202,0.0756994933,0.8681192660550459
